,Dollar,Ibovespa,Selic
2009-02-16,2.2660000324249268,41841.0,12.75
2009-02-17,2.315000057220459,39847.0,12.75
2009-02-18,2.3489999771118164,39674.0,12.75
2009-02-19,2.353300094604492,39730.0,12.75
2009-02-20,2.390500068664551,38715.0,12.75
2009-02-23,2.378999948501587,,12.75
2009-02-24,2.382999897003174,,12.75
2009-02-25,2.3940000534057617,38232.0,12.75
2009-02-26,2.3440001010894775,38180.0,12.75
2009-02-27,2.36899995803833,38183.0,12.75
2009-03-02,2.437000036239624,36235.0,12.75
2009-03-03,2.438999891281128,36468.0,12.75
2009-03-04,2.371000051498413,38402.0,12.75
2009-03-05,2.378000020980835,37369.0,12.75
2009-03-06,2.3724000453948975,37105.0,12.75
2009-03-09,2.3652000427246094,36741.0,12.75
2009-03-10,2.343400001525879,38795.0,12.75
2009-03-11,2.3368000984191895,38805.0,12.75
2009-03-12,2.31820011138916,39152.0,11.25
2009-03-13,2.30649995803833,39015.0,11.25
2009-03-16,2.2095000743865967,38607.0,11.25
2009-03-17,2.275899887084961,39511.0,11.25
2009-03-18,2.2997000217437744,40142.0,11.25
